district,quarter,stunting_pct,wasting_rate,anganwadi_coverage,thr_distribution,growth_monitoring_pct,children_enrolled
Jaipur,Q1 2024-25,38.2,17%,0.91,142850,72.4,198400
Jaipur,Q2 2024-25,37.9,16.4%,0.92,138920,74,201200
Jaipur,Q3 2024-25,37.40,15.9%,0.93,145300,76.10,2.04 lakh
Jaipur,Q4 2024-25,36.8,15.2%,94%,149110,78.3,206800
Jodhpur,Q1 2024-25,41.5,19%,0.84,98640,64.2,151300
Jodhpur,Q2 2024-25,41.10,18.7%,0.86,101200,66,153900
Jodhpur,Q3 2024-25,40.6,18.10%,0.88,99850,68.40,1.56 lakh
Jodhpur,Q4 2024-25,40.10,17.4%,89%,104300,70.1,158700
Udaipur,Q1 2024-25,44.8,21%,0.79,87200,58.6,134900
Udaipur,Q2 2024-25,44.3,20.5%,0.81,89400,60.2,136800
Udaipur,Q3 2024-25,43.70,20.10%,0.83,86950,62.50,1.39 lakh
Udaipur,Q4 2024-25,43.2,19.6%,85%,91100,64.4,141200
Kota,Q1 2024-25,33.6,14%,0.93,110400,76.8,167500
Kota,Q2 2024-25,33.10,13.6%,0.94,108900,78,169200
Kota,Q3 2024-25,32.6,13.20%,0.95,112300,80.10,1.71 lakh
Kota,Q4 2024-25,32.10,12.8%,96%,115600,82.5,173800
Ajmer,Q1 2024-25,36.9,16%,0.88,95300,70.2,142600
Ajmer,Q2 2024-25,36.4,15.8%,0.89,97100,71,144300
Ajmer,Q3 2024-25,35.90,15.40%,0.90,94800,73.20,1.46 lakh
Ajmer,Q4 2024-25,35.4,15%,91%,99200,75.1,148900
Bikaner,Q1 2024-25,42.7,20%,0.81,72400,60.4,118700
Bikaner,Q2 2024-25,42.20,19.6%,0.83,74100,62,120400
Bikaner,Q3 2024-25,41.7,19.10%,0.85,71900,64.30,1.22 lakh
Bikaner,Q4 2024-25,41.10,18.5%,86%,76800,66.2,124100
Alwar,Q1 2024-25,39.4,18%,0.86,103600,67.8,159200
Alwar,Q2 2024-25,38.9,17.5%,0.87,105200,69,161000
Alwar,Q3 2024-25,38.40,17.10%,0.89,102900,71.40,1.63 lakh
Alwar,Q4 2024-25,37.9,16.6%,90%,108100,73.2,165400
Bharatpur,Q1 2024-25,40.8,18%,0.83,84700,63.6,127800
Bharatpur,Q2 2024-25,40.30,18.2%,0.85,86300,65,129500
Bharatpur,Q3 2024-25,39.8,17.70%,0.87,83900,67.10,1.31 lakh
Bharatpur,Q4 2024-25,39.30,17.2%,88%,89400,69.3,133600
Sikar,Q1 2024-25,35.2,15%,0.90,91800,72,138400
Sikar,Q2 2024-25,34.70,15.1%,0.91,93400,73.5,140100
Sikar,Q3 2024-25,34.2,14.60%,0.92,90700,75.20,1.42 lakh
Sikar,Q4 2024-25,33.70,14.1%,93%,95600,77.4,144800
Barmer,Q1 2024-25,46.3,23%,0.74,64200,52.4,109300
Barmer,Q2 2024-25,45.80,22.6%,0.76,66100,54,111200
Barmer,Q3 2024-25,45.30,22.10%,0.78,63500,56.30,1.13 lakh
Barmer,Q4 2024-25,44.8,21.5%,80%,68900,58.2,115700
Banswara,Q1 2024-25,48.1,24%,0.71,58300,49.6,98400
Banswara,Q2 2024-25,47.60,23.8%,0.73,60100,51,100200
Banswara,Q3 2024-25,47.10,23.30%,0.75,57800,53.40,1.02 lakh
Banswara,Q4 2024-25,46.6,22.7%,77%,62400,55.1,104100
Dungarpur,Q1 2024-25,45.9,22%,0.76,61700,54.2,102800
Dungarpur,Q2 2024-25,45.40,21.7%,0.78,63300,56,104600
Dungarpur,Q3 2024-25,44.90,21.20%,0.80,60900,58.30,1.06 lakh
Dungarpur,Q4 2024-25,44.4,20.6%,82%,65800,60.1,108300
