household_id,district,social_group,female_headed,area_type,data_completeness_pct,predicted_vulnerability_score,eligibility_flag
JH-1001,Khunti,ST,N,forest,64.4,51.4,N
JH-1002,Khunti,ST,Y,forest,64.9,53.5,N
JH-1003,Gumla,ST,N,forest,63.6,56.5,Y
JH-1004,Gumla,ST,Y,forest,68.1,58.7,Y
JH-1005,Simdega,ST,N,forest,67.0,59.1,Y
JH-1006,Simdega,ST,Y,forest,68.2,47.4,N
JH-1007,West Singhbhum,ST,N,forest,65.0,56.3,Y
JH-1008,West Singhbhum,ST,Y,forest,63.2,38.4,N
JH-1009,Latehar,ST,N,forest,63.8,65.4,Y
JH-1010,Latehar,ST,Y,forest,73.0,52.1,N
JH-1011,Lohardaga,ST,N,forest,52.4,47.3,N
JH-1012,Lohardaga,ST,Y,forest,57.8,47.6,N
JH-1013,Khunti,ST,N,forest,55.0,62.9,Y
JH-1014,Gumla,ST,Y,forest,65.2,40.4,N
JH-1015,Simdega,ST,N,forest,73.4,59.5,Y
JH-1016,Latehar,ST,N,rural,86.5,69.6,Y
JH-1017,Gumla,ST,Y,rural,77.0,50.7,N
JH-1018,West Singhbhum,ST,N,rural,80.2,77.4,Y
JH-1019,Hazaribagh,SC,N,rural,74.3,60.0,Y
JH-1020,Ranchi,SC,Y,rural,85.5,84.7,Y
JH-1021,Bokaro,SC,N,rural,81.3,79.7,Y
JH-1022,Dhanbad,SC,Y,rural,88.7,55.6,Y
JH-1023,Hazaribagh,OBC,N,rural,83.8,63.0,Y
JH-1024,Latehar,OBC,Y,rural,86.1,79.0,Y
JH-1025,Ranchi,OBC,N,urban,91.6,78.7,Y
JH-1026,Dhanbad,OBC,Y,urban,97.8,61.9,Y
JH-1027,Ranchi,General,N,urban,97.0,71.0,Y
JH-1028,Dhanbad,General,N,urban,86.6,64.6,Y
JH-1029,Bokaro,General,Y,urban,95.7,71.3,Y
JH-1030,Hazaribagh,General,N,urban,95.0,74.8,Y
JH-1031,Ranchi,General,N,urban,97.6,89.0,Y
JH-1032,Dhanbad,General,Y,urban,97.6,63.8,Y
JH-1033,Bokaro,OBC,N,urban,93.9,96.6,Y
JH-1034,Ranchi,SC,N,urban,100,76.6,Y
JH-1035,Bokaro,General,N,urban,89.5,66.3,Y
JH-1036,Ranchi,OBC,N,urban,97.3,94.6,Y
JH-1037,Dhanbad,General,N,urban,96.8,48.4,N
JH-1038,Gumla,OBC,N,rural,77.6,55.9,Y
JH-1039,Hazaribagh,General,N,rural,74.6,80.8,Y
JH-1040,Simdega,OBC,Y,rural,78.9,73.4,Y
JH-1041,Latehar,SC,N,rural,73.3,68.6,Y
JH-1042,Ranchi,General,Y,rural,88.2,49.8,N
JH-1043,Khunti,ST,Y,forest,68.5,70.7,Y
JH-1044,West Singhbhum,ST,N,forest,64.9,39.3,N
JH-1045,Latehar,ST,Y,forest,50.9,65.3,Y
JH-1046,Lohardaga,ST,N,forest,79.8,66.9,Y
JH-1047,Simdega,ST,Y,forest,61.3,46.9,N
