month,intervention,new_enrolments,children_active,intake_SAM,intake_MAM,outcome_recovered,outcome_improved,outcome_no_change,outcome_defaulted,monthly_cost_inr
1,A_facility,90,90,56,34,61,13,9,7,765000
2,A_facility,110,200,68,42,75,15,11,9,1700000
3,A_facility,120,320,74,46,82,17,12,9,2720000
4,A_facility,130,360,81,49,88,18,13,11,3060000
5,A_facility,140,390,87,53,95,20,14,11,3315000
6,A_facility,145,415,90,55,99,20,14,12,3527500
7,A_facility,150,435,93,57,102,21,15,12,3697500
8,A_facility,150,445,93,57,102,21,15,12,3782500
9,A_facility,155,455,96,59,105,22,16,12,3867500
10,A_facility,155,460,96,59,105,22,16,12,3910000
11,A_facility,150,460,93,57,102,21,15,12,3910000
12,A_facility,145,450,90,55,99,20,14,12,3825000
13,A_facility,140,435,87,53,95,20,14,11,3697500
14,A_facility,135,420,84,51,92,19,14,10,3570000
15,A_facility,130,405,81,49,88,18,13,11,3442500
16,A_facility,120,385,74,46,82,17,12,9,3272500
17,A_facility,115,365,71,44,78,16,12,9,3102500
18,A_facility,120,355,74,46,82,17,12,9,3017500
1,B_community,320,320,96,224,131,54,58,77,384000
2,B_community,430,750,129,301,176,73,77,104,900000
3,B_community,500,1250,150,350,205,85,90,120,1500000
4,B_community,560,1810,168,392,230,95,101,134,2172000
5,B_community,620,2110,186,434,254,105,112,149,2532000
6,B_community,660,2340,198,462,271,112,119,158,2808000
7,B_community,700,2540,210,490,287,119,126,168,3048000
8,B_community,720,2700,216,504,295,122,130,173,3240000
9,B_community,740,2820,222,518,303,126,133,178,3384000
10,B_community,760,2920,228,532,312,129,137,182,3504000
11,B_community,755,2975,226,529,310,128,136,181,3570000
12,B_community,745,3000,224,521,305,127,134,179,3600000
13,B_community,715,2975,214,501,293,122,129,171,3570000
14,B_community,685,2900,206,479,281,116,123,165,3480000
15,B_community,645,2790,194,451,264,110,116,155,3348000
16,B_community,595,2640,178,417,244,101,107,143,3168000
17,B_community,555,2480,166,389,228,94,100,133,2976000
18,B_community,295,2090,88,207,121,50,53,71,2508000
