indicator,domain,overall_pct,age_15_16_pct,age_17_19_pct,in_school_pct,out_of_school_pct,sample_n
Anemic (Hb below 12 g/dL),prevalence,68,64,71,63,76,1200
Severely anemic (Hb below 8 g/dL),prevalence,9,7,11,7,13,1200
Cannot name two iron-rich foods,knowledge,45,52,39,38,57,1200
Believes anemia is "normal weakness",knowledge,62,66,59,56,72,1200
Does not know anemia is preventable/treatable,knowledge,51,57,46,44,62,1200
Knows WIFS blue iron tablet is for adolescents,knowledge,34,28,39,42,21,1200
Sees iron tablets as "medicine for sick people",attitude,58,61,56,53,67,1200
Uncomfortable discussing menstruation with adults,attitude,71,76,67,67,78,1200
Believes girls should eat after male family members,attitude,49,52,47,44,57,1200
Willing to take a weekly iron tablet if advised,attitude,46,43,49,52,36,1200
Ate an iron-rich food in past 24 hours,practice,28,26,29,31,23,1200
Took a WIFS iron tablet in past week,practice,19,17,21,26,8,1200
Eats last / least in the household,practice,53,55,51,48,61,1200
Attended any health/nutrition session in past year,practice,22,24,21,31,6,1200
Has a functional adolescent-friendly health clinic nearby,structural,11,11,11,12,9,1200
ASHA discussed anemia with respondent in past year,structural,17,16,18,20,12,1200
School offers WIFS tablets and health education,structural,38,38,38,61,0,1200
